"","cell_type","gene"
"150","Sncg_on","Cnr1"
"151","Sncg_on","Gad1"
"152","Sncg_on","Sncg"
"153","Sncg_on","Synpr"
"154","Sncg_on","Zcchc12"
"155","Sncg_on","Nrip3"
"156","Sncg_on","Fxyd6"
"157","Sncg_on","Kcnip1"
"158","Sncg_on","Gad2"
"159","Sncg_on","Slc6a1"
"160","Sncg_on","Adarb2"
"161","Sncg_on","Dlx6os1"
"162","Sncg_on","Sema3c"
"163","Sncg_on","Dlx1"
"164","Sncg_on","Igf1"
"165","Sncg_on","Dner"
"166","Sncg_on","Maf"
"167","Sncg_on","Rgs12"
"168","Sncg_on","Htr3a"
"169","Sncg_on","Fstl5"
"170","Sncg_on","Gng4"
"171","Sncg_on","Pcp4l1"
"172","Sncg_on","Klhl13"
"173","Sncg_on","Galnt14"
"174","Sncg_on","Sp8"
"175","Sncg_on","Pnoc"
"176","Sncg_on","Nr2f2"
"177","Sncg_on","Cxcl14"
"178","Pvalb_on","Gad1"
"179","Pvalb_on","Slc6a1"
"180","Pvalb_on","Gad2"
"181","Pvalb_on","Pvalb"
"182","Pvalb_on","Nxph1"
"183","Pvalb_on","Ubash3b"
"184","Pvalb_on","Pcp4l1"
"185","Pvalb_on","Nek7"
"186","Pvalb_on","Gm13629"
"187","Pvalb_on","Kcnc2"
"188","Pvalb_on","Cox6a2"
"189","Pyramidal_on","Nrgn"
"190","Pyramidal_on","Arpp21"
"191","Pyramidal_on","Rgs4"
"192","Pyramidal_on","Ctxn1"
"193","Pyramidal_on","Nrn1"
"194","Pyramidal_on","Stx1a"
"195","Pyramidal_on","Rasgrp1"
"196","Pyramidal_on","Sv2b"
"197","Pyramidal_on","Ptk2b"
"198","Pyramidal_on","Baiap2"
"199","Pyramidal_on","Neurod6"
"200","Pyramidal_on","Dkk3"
